WEAPON_SOURCE_COUNTRY,WEAPON_DEPLOYMENT_LOCATION,Data.Source,Location.Cordinates.Latitude,Location.Cordinates.Longitude,Data.Magnitude.Body,Data.Magnitude.Surface,Location.Cordinates.Depth,Data.Yeild.Lower,Data.Yeild.Upper,data_Purpose,Data.Name,Data.Type,Date.Day,Date.Month,Date_Year
USA,Alamogordo,DOE,32.54,-105.57,0,0,-0.1,21,21,wr,Trinity,Tower,16,7,1945
USA,Hiroshima,DOE,34.23,132.27,0,0,-0.6,15,15,Combat,Littleboy,Airdrop,5,8,1945
USA,Nagasaki,DOE,32.45,129.52,0,0,-0.6,21,21,Combat,Fatman,Airdrop,9,8,1945
USA,Bikini,DOE,11.35,165.2,0,0,-0.2,21,21,We,Able,Airdrop,30,6,1946
USA,Bikini,DOE,11.35,165.2,0,0,0.03,21,21,We,Baker,Uw,24,7,1946
USA,Enewetak,DOE,11.3,162.15,0,0,-0.08,37,37,wr,X-Ray,Tower,14,4,1948
USA,Enewetak,DOE,11.3,162.15,0,0,-0.08,49,49,wr,Yoke,Tower,30,4,1948
USA,Enewetak,DOE,11.3,162.15,0,0,-0.08,18,18,wr,Zebra,Tower,14,5,1948
USSR,Semi Kazakh,DOE,48,76,0,0,0,22,22,wr,Nan,Surface,29,8,1949
USA,Nts,DOE,37,-116,0,0,-0.35,1,1,wr,Able,Airdrop,27,1,1951
USA,Nts,DOE,37,-116,0,0,-0.35,8,8,wr,Baker,Airdrop,28,1,1951
USA,Nts,DOE,37,-116,0,0,-0.35,1,1,wr,Easy,Airdrop,1,2,1951
USA,Nts,DOE,37,-116,0,0,-0.4,8,8,wr,Baker2,Airdrop,2,2,1951
USA,Nts,DOE,37,-116,0,0,-0.5,22,22,wr,Fox,Airdrop,6,2,1951
USA,Enewetak,DOE,11.3,162.15,0,0,-0.1,81,81,wr,Dog,Tower,7,4,1951
USA,Enewetak,DOE,11.3,162.15,0,0,-0.1,47,47,wr,Easy,Tower,20,4,1951
USA,Enewetak,DOE,11.3,162.15,0,0,-0.07,225,225,wr,George,Tower,8,5,1951
USA,Enewetak,DOE,11.3,162.15,0,0,-0.07,45.5,45.5,wr,Item,Tower,24,5,1951
USSR,Semi Kazakh,DOE,48,76,0,0,0,38,38,wr,Nan,Surface,24,9,1951
USSR,Semi Kazakh,DOE,48,76,0,0,0,42,42,wr,Nan,Airdrop,18,10,1951
USA,Nts,DOE,37,-116,0,0,-0.03,0,0.1,wr,Able,Tower,22,10,1951
USA,Nts,DOE,37,-116,0,0,-0.4,3.5,3.5,wr,Baker,Airdrop,28,10,1951
USA,Nts,DOE,37,-116,0,0,-0.4,14,14,wr,Charlie,Airdrop,30,10,1951
USA,Nts,DOE,37,-116,0,0,-0.5,21,21,wr,Dog,Airdrop,1,11,1951
USA,Nts,DOE,37,-116,0,0,-0.45,31,31,wr,Easy,Airdrop,5,11,1951
USA,Nts,DOE,37,-116,0,0,-0.001,1.2,1.2,We,Sugar,Surface,19,11,1951
USA,Nts,DOE,37,-116,0,0,0.01,1.2,1.2,We,Uncle,Crater,29,11,1951
USA,Nts,DOE,37,-116,0,0,-0.25,1,1,We,Able,Airdrop,1,4,1952
USA,Nts,DOE,37,-116,0,0,-0.35,1,1,We,Baker,Airdrop,15,4,1952
USA,Nts,DOE,37,-116,0,0,-1.15,31,31,wr,Charlie,Airdrop,22,4,1952
